Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Moses Lake, WA Micro Area",310M600US34180,62227,5072,82563,8803
"Mount Airy, NC Micro Area",310M600US34340,51950,2531,78927,12793
"Mount Vernon-Anacortes, WA Metro Area",310M600US34580,72648,6174,96344,5601
"Muncie, IN Metro Area",310M600US34620,50497,2341,64209,4330
"Muskegon, MI Metro Area",310M600US34740,55462,2549,70864,3511
"Muskogee, OK Micro Area",310M600US34780,43437,4343,60728,4743
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",310M600US34820,59073,2576,76853,2826
"Napa, CA Metro Area",310M600US34900,97213,6954,135239,8766
"Naples-Marco Island, FL Metro Area",310M600US34940,74215,3995,123892,6926
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",310M600US34980,72725,1727,102346,2558
"New Bern, NC Metro Area",310M600US35100,55390,7883,72394,5534
"New Castle, PA Micro Area",310M600US35260,59536,4403,74012,4223
"New Haven-Milford, CT Metro Area",310M600US35300,75295,2722,103758,3481
"New Orleans-Metairie, LA Metro Area",310M600US35380,56837,1785,82788,1957
"New Philadelphia-Dover, OH Micro Area",310M600US35420,58060,3525,74894,4961
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",310M600US35620,84409,717,125563,978
"Niles, MI Metro Area",310M600US35660,57535,3391,87333,5526
"North Port-Sarasota-Bradenton, FL Metro Area",310M600US35840,70095,2246,98953,3406
"North Wilkesboro, NC Micro Area",310M600US35900,43933,6150,59797,6595
"Norwich-New London, CT Metro Area",310M600US35980,78828,3981,101230,4298
"Oak Harbor, WA Micro Area",310M600US36020,76505,4700,98299,6430
"Ocala, FL Metro Area",310M600US36100,55161,3333,72091,3449
"Ocean City, NJ Metro Area",310M600US36140,78657,6156,108949,10224
"Odessa, TX Metro Area",310M600US36220,57473,6344,74387,6459
"Ogden-Clearfield, UT Metro Area",310M600US36260,81364,2567,107222,3748
"Ogdensburg-Massena, NY Micro Area",310M600US36300,55775,4742,69044,5029
"Oklahoma City, OK Metro Area",310M600US36420,61815,1558,82109,1715
"Olean, NY Micro Area",310M600US36460,55153,5032,66515,3088
"Olympia-Lacey-Tumwater, WA Metro Area",310M600US36500,81659,3098,99075,4043
"Omaha-Council Bluffs, NE-IA Metro Area",310M600US36540,73720,1897,99134,2817
"Opelousas, LA Micro Area",310M600US36660,38599,5350,60537,7081
"Orangeburg, SC Micro Area",310M600US36700,34685,5008,51319,6383
"Orlando-Kissimmee-Sanford, FL Metro Area",310M600US36740,64936,1329,89432,1933
"Oshkosh-Neenah, WI Metro Area",310M600US36780,64095,2751,79087,2668
"Ottawa, IL Micro Area",310M600US36837,63157,4556,79749,4050
"Owensboro, KY Metro Area",310M600US36980,60189,6805,80814,6659
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",310M600US37100,96454,2936,125549,3464
"Paducah, KY-IL Micro Area",310M600US37140,61870,3683,80352,6510
"Palatka, FL Micro Area",310M600US37260,33370,4864,48904,4689
"Palm Bay-Melbourne-Titusville, FL Metro Area",310M600US37340,65333,2802,89370,5983
"Panama City, FL Metro Area",310M600US37460,60557,3790,78433,3943
"Parkersburg-Vienna, WV Metro Area",310M600US37620,54284,6276,76445,7611
"Pensacola-Ferry Pass-Brent, FL Metro Area",310M600US37860,64877,2436,83889,3184
"Peoria, IL Metro Area",310M600US37900,59760,2267,80137,2116
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",310M600US37980,80007,1028,109597,1098
"Phoenix-Mesa-Chandler, AZ Metro Area",310M600US38060,75731,741,101833,1284
"Pine Bluff, AR Metro Area",310M600US38220,46826,4737,64870,5938
"Pinehurst-Southern Pines, NC Micro Area",310M600US38240,67160,8775,98660,8714
"Pittsburgh, PA Metro Area",310M600US38300,66609,1150,91788,1297
"Pittsfield, MA Metro Area",310M600US38340,60749,2541,95278,7941
"Plattsburgh, NY Micro Area",310M600US38460,60285,7659,72847,4947
"Pocatello, ID Metro Area",310M600US38540,60475,4639,76796,4519
"Ponce, PR Metro Area",310M600US38660,19006,1602,29585,2367
"Port Angeles, WA Micro Area",310M600US38820,62695,5028,85231,8585
"Portland-South Portland, ME Metro Area",310M600US38860,78558,3248,105920,4044
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",310M600US38900,83943,1164,109491,1773
"Port St. Lucie, FL Metro Area",310M600US38940,63771,3584,87881,5223
"Portsmouth, OH Micro Area",310M600US39020,40522,5328,57316,4752
"Pottsville, PA Micro Area",310M600US39060,58614,3313,77347,4290
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",310M600US39100,89033,3623,114572,4141
"Prescott Valley-Prescott, AZ Metro Area",310M600US39150,57230,2944,74635,3406
"Providence-Warwick, RI-MA Metro Area",310M600US39300,73788,2322,97937,2342
"Provo-Orem, UT Metro Area",310M600US39340,86629,3114,113817,3845
"Pueblo, CO Metro Area",310M600US39380,56689,3117,75317,5089
"Punta Gorda, FL Metro Area",310M600US39460,59285,4160,76367,4024
"Quincy, IL-MO Micro Area",310M600US39500,57020,7842,68730,4279
"Racine, WI Metro Area",310M600US39540,68758,3435,90318,6634
"Raleigh-Cary, NC Metro Area",310M600US39580,85303,2663,111834,2259
"Rapid City, SD Metro Area",310M600US39660,63342,3435,80938,5488
"Reading, PA Metro Area",310M600US39740,68658,2924,89775,3098
