Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Waukegan city, Illinois",1600000US1779293,49203,5204,63547,5802
"Boise City city, Idaho",1600000US1608830,55309,3239,74053,3960
"Meridian city, Idaho",1600000US1652120,54746,11296,76416,14709
"Minneapolis city, Minnesota",1600000US2743000,54571,2242,79565,2822
"Lowell city, Massachusetts",1600000US2537000,47727,4603,60998,3796
"Fall River city, Massachusetts",1600000US2523000,39547,3842,50973,3328
"Kalamazoo city, Michigan",1600000US2642160,36536,4479,53981,4629
"Lansing city, Michigan",1600000US2646000,37426,2364,47922,6359
"San Diego city, California",1600000US0666000,67871,1873,92192,2037
"Salinas city, California",1600000US0664224,52334,2674,65460,3941
"Fairfield city, California",1600000US0623182,70776,5296,89811,6273
"Palo Alto city, California",1600000US0655282,147737,17599,206627,19499
"Carson city, California",1600000US0611530,77162,6345,90179,6440
"Compton city, California",1600000US0615044,45676,2551,53800,3325
"Westminster city, California",1600000US0684550,55385,5699,79375,6674
"South San Francisco city, California",1600000US0673262,96822,12463,110857,10114
"Oxnard city, California",1600000US0654652,59830,3688,75137,3203
"Apple Valley town, California",1600000US0602364,44498,6592,62118,5810
"San Buenaventura (Ventura) city, California",1600000US0665042,70627,7356,87897,7149
"Santa Clarita city, California",1600000US0669088,85916,4397,101750,3948
"Rancho Cordova city, California",1600000US0659444,59552,8334,69547,4078
"Riverside city, California",1600000US0662000,61279,3456,76920,3564
"Temecula city, California",1600000US0678120,80495,6476,95137,6229
"Escondido city, California",1600000US0622804,54284,4129,75387,4221
"Menifee city, California",1600000US0646842,57204,4940,71299,4720
"Costa Mesa city, California",1600000US0616532,72128,7777,91916,6382
"Orange city, California",1600000US0653980,83429,4571,103640,5195
"El Monte city, California",1600000US0622230,41632,2597,56415,5926
"Ontario city, California",1600000US0653896,57361,3932,65950,2956
"Hemet city, California",1600000US0633182,36334,2740,50043,5015
"Perris city, California",1600000US0656700,55074,7605,64387,7327
"Baton Rouge city, Louisiana",1600000US2205000,41224,3455,60589,2657
"Pine Hills CDP, Florida",1600000US1256825,35740,3274,46771,3472
"Clearwater city, Florida",1600000US1212875,46344,4037,65884,4700
"Deerfield Beach city, Florida",1600000US1216725,46582,2603,58400,4670
"Tallahassee city, Florida",1600000US1270600,40000,2428,57644,3466
"Highlands Ranch CDP, Colorado",1600000US0836410,111693,9483,129260,7374
"Plymouth city, Minnesota",1600000US2751730,93203,7746,123121,8829
"Troy city, Michigan",1600000US2680700,87447,9578,106145,5095
"New Bedford city, Massachusetts",1600000US2545000,36808,2190,51410,4065
"Peoria city, Arizona",1600000US0454050,66308,3641,84535,4057
"Chandler city, Arizona",1600000US0412000,75562,4411,95293,5385
"Glendale city, Arizona",1600000US0427820,45812,3801,61684,2976
"Mesa city, Arizona",1600000US0446000,49177,2027,66017,2344
"Flagstaff city, Arizona",1600000US0423620,51616,5804,72486,7622
"Phoenix city, Arizona",1600000US0455000,48452,1719,69457,1804
"Gilbert town, Arizona",1600000US0427400,86045,3667,99619,3805
"El Cajon city, California",1600000US0621712,49227,5415,60726,3458
"Victorville city, California",1600000US0682590,47693,8037,61547,8220
"Anaheim city, California",1600000US0602000,63104,2893,80217,2858
"Fullerton city, California",1600000US0628000,68801,6644,92516,7087
"Huntington Beach city, California",1600000US0636000,85778,4908,110681,5645
"Tustin city, California",1600000US0680854,73800,5561,101668,10255
"Richmond city, California",1600000US0660620,56374,8000,77995,5370
"Lafayette city, Louisiana",1600000US2240735,47830,5000,77299,6742
"Kansas City city, Kansas",1600000US2036000,41255,1515,51093,2573
"Evansville city, Indiana",1600000US1822000,35293,3031,48102,2934
"Gary city, Indiana",1600000US1827000,30467,2075,40082,3462
"Lehigh Acres CDP, Florida",1600000US1239925,42296,2848,51874,3812
"Sunrise city, Florida",1600000US1269700,55957,6125,64859,4734
"Aurora city, Illinois",1600000US1703012,63355,4645,85143,4724
"Washington city, District of Columbia",1600000US1150000,75628,2493,114600,4986
"Bridgeport city, Connecticut",1600000US0908000,42420,2859,59043,3803
"Waterbury city, Connecticut",1600000US0980000,37877,3509,51422,3789
"Wyoming city, Michigan",1600000US2688940,44047,5757,65517,8753
"Rochester Hills city, Michigan",1600000US2669035,81124,7831,114653,10932
"Dearborn city, Michigan",1600000US2621000,51424,3105,68179,5151
"Detroit city, Michigan",1600000US2622000,25980,872,38475,1393
